averagerank.wholebrain,finalrank.wholebrain,averagerank.hemisphere,finalrank.hemisphere,label,language_hemisphere,language_hemisphere_bin
154.8,116.0,77.6,56.0,rh_17Networks_RH_DorsAttnA_SPL_2,56.0,7
147.4,101.0,74.2,52.0,rh_17Networks_RH_DorsAttnA_SPL_3,0.0,0
187.1,174.0,94.5,85.0,rh_17Networks_RH_DorsAttnA_SPL_4,0.0,0
144.9,95.0,73.3,48.5,rh_17Networks_RH_DorsAttnA_SPL_5,0.0,0
182.8,165.0,91.4,81.0,rh_17Networks_RH_DorsAttnA_SPL_6,0.0,0
147.7,102.0,74.9,53.0,rh_17Networks_RH_DorsAttnA_SPL_7,0.0,0
153.8,114.0,78.6,61.0,rh_17Networks_RH_DorsAttnA_SPL_8,0.0,0
241.0,266.0,120.3,134.0,rh_17Networks_RH_DorsAttnB_TempOcc_1,134.0,6
161.5,129.5,80.3,64.0,rh_17Networks_RH_DorsAttnB_PostC_1,0.0,0
201.6,194.0,100.0,91.0,rh_17Networks_RH_DorsAttnB_PostC_2,0.0,0
182.1,163.0,91.1,80.0,rh_17Networks_RH_DorsAttnB_PostC_3,0.0,0
170.3,142.0,85.5,71.0,rh_17Networks_RH_DorsAttnB_PostC_4,0.0,0
158.0,122.0,79.4,62.0,rh_17Networks_RH_DorsAttnB_PostC_5,0.0,0
184.9,169.0,92.3,83.0,rh_17Networks_RH_DorsAttnB_PostC_6,0.0,0
165.0,134.0,83.2,66.0,rh_17Networks_RH_DorsAttnB_PostC_7,0.0,0
151.1,109.5,75.6,54.0,rh_17Networks_RH_DorsAttnB_PostC_8,0.0,0
180.5,159.0,90.5,78.5,rh_17Networks_RH_DorsAttnB_FEF_1,78.5,4
208.4,201.5,104.9,103.0,rh_17Networks_RH_DorsAttnB_FEF_2,0.0,0
177.4,157.0,88.6,74.0,rh_17Networks_RH_DorsAttnB_FEF_3,0.0,0
191.9,178.0,95.9,88.0,rh_17Networks_RH_SalVentAttnA_ParOper_1,0.0,0
201.4,193.0,99.9,90.0,rh_17Networks_RH_SalVentAttnA_ParOper_2,0.0,0
240.2,265.0,119.5,131.5,rh_17Networks_RH_SalVentAttnA_ParOper_3,0.0,0
219.3,222.5,109.9,115.0,rh_17Networks_RH_SalVentAttnA_PrC_1,115.0,4
225.1,237.0,113.3,121.0,rh_17Networks_RH_SalVentAttnA_Ins_1,121.0,5
241.3,267.5,120.9,135.0,rh_17Networks_RH_SalVentAttnA_Ins_2,0.0,0
242.8,276.0,121.4,136.0,rh_17Networks_RH_SalVentAttnA_Ins_3,136.0,5
260.4,301.0,130.1,152.0,rh_17Networks_RH_SalVentAttnA_Ins_4,0.0,0
214.7,211.0,107.6,109.0,rh_17Networks_RH_SalVentAttnA_FrOper_1,0.0,0
213.9,209.0,106.5,107.0,rh_17Networks_RH_SalVentAttnA_FrOper_2,0.0,0
235.0,253.0,118.9,129.0,rh_17Networks_RH_SalVentAttnA_FrOper_3,129.0,3
208.4,201.5,105.3,105.0,rh_17Networks_RH_SalVentAttnA_FrMed_1,0.0,0
172.9,146.0,87.1,73.0,rh_17Networks_RH_SalVentAttnA_ParMed_1,0.0,0
196.3,183.0,99.2,89.0,rh_17Networks_RH_SalVentAttnA_ParMed_2,0.0,0
228.6,244.0,114.8,125.0,rh_17Networks_RH_SalVentAttnA_FrMed_2,0.0,0
148.2,104.5,74.0,51.0,rh_17Networks_RH_SalVentAttnA_ParMed_3,0.0,0
